"Date","Price","Change_Price","Change_Percent","Prev_Close","Open","VWAP","Intraday_Low","Intraday_High"
2021-11-22 14:06:00,2390,-9.40000000000009,-0.391764607818625,2399.4,2409.4,2388.73,2377.15,2409.9
2021-11-22 14:07:00,2389.15,-10.25,-0.42719013086605,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:08:00,2389.75,-9.65000000000009,-0.402183879303163,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:09:00,2389,-10.4000000000001,-0.433441693756776,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:10:00,2388.55,-10.8499999999999,-0.452196382428937,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:11:00,2388.1,-11.3000000000002,-0.470951071101116,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:12:00,2388.1,-11.3000000000002,-0.470951071101116,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:13:00,2388.65,-10.75,-0.448028673835125,2399.4,2409.4,2388.75,2377.15,2409.9
2021-11-22 14:14:00,2388.1,-11.3000000000002,-0.470951071101116,2399.4,2409.4,2388.75,2377.15,2409.9
2021-11-22 14:15:00,2388.3,-11.0999999999999,-0.462615653913475,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:16:00,2389,-10.4000000000001,-0.433441693756776,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:17:00,2388.65,-10.75,-0.448028673835125,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:18:00,2388.4,-11,-0.458447945319663,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:19:00,2388.65,-10.75,-0.448028673835125,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:20:00,2388.15,-11.25,-0.468867216804201,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:21:00,2388.1,-11.3000000000002,-0.470951071101116,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:22:00,2388.95,-10.4500000000003,-0.435525548053691,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:23:00,2388.25,-11.1500000000001,-0.46469950821039,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:24:00,2388.85,-10.5500000000002,-0.439693256647503,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:25:00,2388.05,-11.3499999999999,-0.473034925398012,2399.4,2409.4,2388.74,2377.15,2409.9
2021-11-22 14:26:00,2387.8,-11.5999999999999,-0.48345419688255,2399.4,2409.4,2388.73,2377.15,2409.9
2021-11-22 14:27:00,2384,-15.4000000000001,-0.641827123447532,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 14:28:00,2384.3,-15.0999999999999,-0.629323997666079,2399.4,2409.4,2388.71,2377.15,2409.9
2021-11-22 14:29:00,2381.35,-18.0500000000002,-0.752271401183637,2399.4,2409.4,2388.65,2377.15,2409.9
2021-11-22 14:30:00,2381.15,-18.25,-0.760606818371259,2399.4,2409.4,2388.65,2377.15,2409.9
2021-11-22 14:31:00,2382,-17.4000000000001,-0.725181295323835,2399.4,2409.4,2388.52,2377.15,2409.9
2021-11-22 14:32:00,2381.45,-17.9500000000003,-0.748103692589825,2399.4,2409.4,2388.45,2377.15,2409.9
2021-11-22 14:33:00,2382,-17.4000000000001,-0.725181295323835,2399.4,2409.4,2388.33,2377.15,2409.9
2021-11-22 14:34:00,2383.1,-16.3000000000002,-0.679336500791872,2399.4,2409.4,2388.32,2377.15,2409.9
2021-11-22 14:35:00,2383.75,-15.6500000000001,-0.65224639493207,2399.4,2409.4,2388.31,2377.15,2409.9
2021-11-22 14:36:00,2382.1,-17.3000000000002,-0.721013586730023,2399.4,2409.4,2388.31,2377.15,2409.9
2021-11-22 14:37:00,2385.5,-13.9000000000001,-0.579311494540306,2399.4,2409.4,2388.25,2377.15,2409.9
2021-11-22 14:38:00,2385.4,-14,-0.583479203134117,2399.4,2409.4,2388.24,2377.15,2409.9
2021-11-22 14:39:00,2386,-13.4000000000001,-0.55847295157123,2399.4,2409.4,2388.24,2377.15,2409.9
2021-11-22 14:40:00,2385.2,-14.2000000000003,-0.591814620321758,2399.4,2409.4,2388.24,2377.15,2409.9
2021-11-22 14:41:00,2388.9,-10.5,-0.437609402350588,2399.4,2409.4,2388.24,2377.15,2409.9
2021-11-22 14:42:00,2389,-10.4000000000001,-0.433441693756776,2399.4,2409.4,2388.24,2377.15,2409.9
2021-11-22 14:43:00,2388,-11.4000000000001,-0.475118779694928,2399.4,2409.4,2388.24,2377.15,2409.9
2021-11-22 14:44:00,2387,-12.4000000000001,-0.516795865633079,2399.4,2409.4,2388.24,2377.15,2409.9
2021-11-22 14:45:00,2387.75,-11.6500000000001,-0.485538051179465,2399.4,2409.4,2388.23,2377.15,2409.9
2021-11-22 14:46:00,2386.4,-13,-0.541802117195966,2399.4,2409.4,2388.23,2377.15,2409.9
2021-11-22 14:47:00,2386.8,-12.5999999999999,-0.525131282820701,2399.4,2409.4,2388.22,2377.15,2409.9
2021-11-22 14:48:00,2386.8,-12.5999999999999,-0.525131282820701,2399.4,2409.4,2388.22,2377.15,2409.9
2021-11-22 14:49:00,2385.85,-13.5500000000002,-0.564724514461956,2399.4,2409.4,2388.22,2377.15,2409.9
2021-11-22 14:50:00,2386,-13.4000000000001,-0.55847295157123,2399.4,2409.4,2388.21,2377.15,2409.9
2021-11-22 14:51:00,2386.6,-12.8000000000002,-0.533466700008343,2399.4,2409.4,2388.21,2377.15,2409.9
2021-11-22 14:52:00,2387.25,-12.1500000000001,-0.506376594148541,2399.4,2409.4,2388.21,2377.15,2409.9
2021-11-22 14:53:00,2386.2,-13.2000000000003,-0.550137534383607,2399.4,2409.4,2388.21,2377.15,2409.9
2021-11-22 14:54:00,2386.45,-12.9500000000003,-0.539718262899069,2399.4,2409.4,2388.21,2377.15,2409.9
2021-11-22 14:55:00,2386.95,-12.4500000000003,-0.518879719929994,2399.4,2409.4,2388.21,2377.15,2409.9
2021-11-22 14:56:00,2386.25,-13.1500000000001,-0.548053680086692,2399.4,2409.4,2388.2,2377.15,2409.9
2021-11-22 14:57:00,2384.2,-15.2000000000003,-0.63349170625991,2399.4,2409.4,2388.19,2377.15,2409.9
2021-11-22 14:58:00,2385.6,-13.8000000000002,-0.575143785946494,2399.4,2409.4,2388.18,2377.15,2409.9
2021-11-22 14:59:00,2385,-14.4000000000001,-0.600150037509381,2399.4,2409.4,2388.18,2377.15,2409.9
2021-11-22 15:00:00,2385,-14.4000000000001,-0.600150037509381,2399.4,2409.4,2388.17,2377.15,2409.9
2021-11-22 15:01:00,2384.35,-15.0500000000002,-0.627240143369183,2399.4,2409.4,2388.17,2377.15,2409.9
