"Stock_Symbol","Stock_Name","Timestamp","Open","High","Low","Close","Volume"
"PFE","Pfizer Inc.","2021-08-25 15:00:00",47.525,47.55,47.3862,47.395,876747
"DELL","Dell Inc.","2021-09-09 13:00:00",96.11,96.2,96.05,96.1,74936
"EBAY","eBay Inc.","2021-08-19 09:00:00",72.83,72.83,72.21,72.21,195477
"NOK","Nokia Corporation","2021-09-01 18:00:00",5.96,5.96,5.96,5.96,707
"BCS","Barclays Plc","2021-08-20 15:15:00",9.93,9.94,9.925,9.93,60287
"BAC","Bank of America Corporation","2021-09-13 13:30:00",40.785,40.8,40.68,40.7,665565
"BCS","Barclays Plc","2021-08-24 08:45:00",10.01,10.01,10.01,10.01,1750
"JPM","J.P. Morgan Chase & Co.","2021-08-24 09:30:00",156.85,157.31,156.85,157.31,1036
"MCD","McDonald's Corporation","2021-08-31 07:15:00",235.8,235.8,235.8,235.8,1326
"ORCL","Oracle Corporation","2021-09-14 11:00:00",86.0208,86.085,85.49,85.6563,837870
"PFE","Pfizer Inc.","2021-08-18 15:00:00",50.275,50.35,49.97,50.02,2169703
"INTC","Intel Corporation","2021-09-14 16:00:00",54.42,54.58,54.35,54.54,2496261
"MSFT","Microsoft Corporation","2021-09-14 15:15:00",300.28,300.58,300.14,300.275,520799
"GS","Goldman Sachs Group, Inc.","2021-09-01 14:00:00",413.355,414,413.26,413.9,21844
"EBAY","eBay Inc.","2021-08-30 15:00:00",77.71,77.8185,77.63,77.6925,151868
"AAPL","Apple Computer, Inc.","2021-08-19 17:00:00",146.68,146.73,146.65,146.67,586359
"PFE","Pfizer Inc.","2021-09-10 12:15:00",45.705,45.745,45.64,45.73,523051
"XOM","Exxon Mobil Corporation","2021-08-27 09:15:00",55.2501,55.2799,55.21,55.22,9174
"INTC","Intel Corporation","2021-08-23 12:15:00",53.38,53.5,53.35,53.455,1834573
"MSFT","Microsoft Corporation","2021-08-25 04:15:00",303.09,303.09,303.09,303.09,233
"PFE","Pfizer Inc.","2021-09-10 20:00:00",45.55,45.58,45.55,45.56,2042
"AXP","American Express Company","2021-08-26 14:15:00",165.92,165.935,165.321,165.43,45043
"PFE","Pfizer Inc.","2021-08-26 18:15:00",47.22,47.23,47.18,47.18,8880
"WIT","Wipro Limited","2021-08-31 15:00:00",9.325,9.33,9.32,9.325,19947
"DELL","Dell Inc.","2021-09-13 11:30:00",98.57,98.79,98.45,98.77,142869
"MSFT","Microsoft Corporation","2021-08-20 10:00:00",299.72,303.54,299.7,302.58,3554294
"INTC","Intel Corporation","2021-09-01 14:45:00",53.685,53.69,53.53,53.59,456192
"PFE","Pfizer Inc.","2021-09-09 19:30:00",46.2,46.2,46.15,46.2,4446
"IBM","International Business Machines Corporation","2021-08-25 11:30:00",140.2499,140.26,140.101,140.21,33286
"ADBE","Adobe Systems","2021-09-10 14:00:00",664.67,664.69,664.09,664.14,16839
"AZN","Astrazeneca Plc.","2021-09-01 15:00:00",58.6,58.645,58.57,58.64,73764
"BCS","Barclays Plc","2021-09-03 09:45:00",10.33,10.41,10.33,10.37,202294
"EBAY","eBay Inc.","2021-08-25 11:45:00",74.35,74.448,74.24,74.445,149220
"JNJ","Johnson & Johnson","2021-09-14 08:15:00",165.9999,165.9999,165.9999,165.9999,180
"MCD","McDonald's Corporation","2021-08-30 16:00:00",236.46,236.84,236.42,236.6,267229
